A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U
30980501,SKU1000,turn,get,partner,21,section,price,284,red,policy,property,baby,speech,majority,cold,sell,give,me,discuss,what
09788206,SKU1001,American,family,evidence,90,least,former,73,yard,real,president,lose,value,region,six,feeling,occur,according,explain,indeed
81219131,SKU1002,town,treatment,American,55,ability,record,482,hundred,fund,government,join,both,nice,training,easy,man,yes,least,person
61939905,SKU1003,many,available,boy,44,nature,thus,203,research,make,better,various,start,operation,may,expert,just,he,mention,organization
91699855,SKU1004,doctor,spring,pick,36,wish,capital,50,smile,letter,tell,professional,large,physical,listen,government,assume,fire,air,recognize
43534623,SKU1005,decision,family,leader,20,sure,service,292,weight,letter,society,parent,discuss,free,event,front,design,some,improve,agreement
47510791,SKU1006,technology,have,hair,28,nothing,we,160,contain,Republican,easy,day,control,someone,society,walk,there,in,great,because
91183842,SKU1007,why,put,shoulder,98,right,first,434,power,different,remember,serious,summer,vote,end,now,kitchen,tonight,relate,question
25135428,SKU1008,magazine,Mr,stop,44,serve,movement,331,outside,much,force,same,safe,level,though,be,improve,wait,respond,later
78498082,SKU1009,hard,instead,former,14,yard,for,326,fish,material,down,if,national,position,public,certainly,west,thing,success,central
41241189,SKU1010,focus,respond,least,12,site,reflect,463,into,student,sure,miss,majority,teacher,factor,city,speech,kind,interview,trial
24493536,SKU1011,tend,threat,police,49,since,issue,451,official,wear,decide,instead,apply,serve,space,during,pattern,nothing,shake,main
48740166,SKU1012,stuff,not,much,13,religious,general,195,these,style,choice,either,onto,wait,star,identify,young,small,company,court
40052427,SKU1013,try,glass,business,46,debate,interesting,305,a,simply,ago,choose,enjoy,mother,near,rule,safe,simple,though,apply
78680111,SKU1014,drive,wrong,image,45,himself,same,108,fly,condition,any,reality,whose,last,memory,claim,again,office,manage,ever
28059820,SKU1015,dog,ahead,we,78,lawyer,find,370,few,reason,election,rise,thus,then,produce,seat,tough,such,wide,hundred
62045056,SKU1016,agent,business,part,34,available,once,45,develop,become,may,accept,campaign,what,edge,difficult,up,player,care,generation
33158693,SKU1017,receive,understand,customer,6,red,care,33,law,federal,popular,walk,loss,official,face,attack,southern,water,prevent,development
23226029,SKU1018,data,every,environmental,94,wife,dark,348,stock,myself,to,social,cell,like,less,join,parent,discussion,none,look
56342161,SKU1019,inside,could,another,59,give,kitchen,126,particularly,record,special,traditional,suddenly,watch,bank,involve,husband,method,agreement,general
